name,r_p,gain,opponent
"18 01 HARVARD DEF vs USD OFF NEW, Play 001",P,18,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 002",R,2,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 003",R,7,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 004",R,-3,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 005",R,-4,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 006",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 007",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 008",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 009",R,11,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 010",P,68,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 011",R,1,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 012",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 013",P,16,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 014",P,10,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 015",R,1,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 016",R,7,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 017",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 018",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 019",P,28,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 020",R,2,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 021",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 022",P,12,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 023",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 024",R,1,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 025",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 026",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 027",R,17,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 028",P,11,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 029",P,7,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 030",R,17,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 031",P,-7,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 032",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 033",NP,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 034",P,7,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 035",R,3,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 036",P,11,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 037",P,7,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 038",R,2,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 039",R,2,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 040",NP,NA,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 041",P,45,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 042",P,2,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 043",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 044",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 045",R,2,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 046",R,4,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 047",P,4,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 048",P,19,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 049",R,4,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 050",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 051",P,1,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 052",P,37,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 053",R,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 054",R,13,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 055",R,3,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 056",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 057",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 058",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 059",P,30,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 060",P,7,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 061",P,6,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 062",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 063",R,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 064",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 065",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 066",P,3,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 067",P,11,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 068",P,7,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 069",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 070",R,7,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 071",P,3,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 072",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 073",P,0,University of San Diego
"18 01 HARVARD DEF vs USD OFF NEW, Play 074",P,0,University of San Diego
"18 03 HARVARD DEF vs URI OFF NEW, Play 001",R,3,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 002",R,4,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 003",P,3,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 004",R,1,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 005",R,1,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 006",P,-8,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 007",R,3,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 008",P,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 009",P,-2,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 010",R,-4,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 011",P,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 012",P,42,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 013",P,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 014",R,5,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 015",R,10,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 016",R,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 017",NP,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 018",P,14,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 019",NP,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 020",R,2,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 021",R,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 022",P,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 023",P,12,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 024",P,4,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 025",P,37,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 026",R,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 027",P,45,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 028",R,4,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 029",P,15,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 030",R,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 031",P,10,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 032",R,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 033",P,6,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 034",P,9,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 035",R,6,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 036",R,8,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 037",R,5,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 038",R,4,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 039",R,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 040",NP,NA,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 041",R,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 042",P,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 043",P,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 044",R,4,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 045",R,2,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 046",P,-9,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 047",R,4,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 048",P,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 049",P,4,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 050",R,24,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 051",R,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 052",R,4,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 053",P,-13,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 054",R,1,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 055",R,1,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 056",P,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 057",R,2,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 058",P,0,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 059",R,1,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 060",R,1,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 061",R,-3,University of Rhode Island
"18 03 HARVARD DEF vs URI OFF NEW, Play 062",R,-2,University of Rhode Island
"18 04 HARVARD DEF vs CORNELL OFF, Play 001",R,3,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 002",R,2,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 003",P,NA,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 004",P,5,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 005",R,6,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 006",R,12,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 007",R,2,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 008",R,0,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 009",P,2,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 010",P,11,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 011",R,6,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 012",R,5,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 013",R,1,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 014",R,6,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 015",R,-2,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 016",R,1,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 017",R,-1,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 018",P,0,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 019",P,6,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 020",R,17,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 021",R,6,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 022",P,0,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 023",R,12,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 024",R,-4,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 025",P,-1,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 026",R,12,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 027",P,26,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 028",P,0,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 029",P,0,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 030",P,0,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 031",P,-9,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 032",R,4,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 033",R,3,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 034",R,0,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 035",R,45,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 036",R,-2,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 037",R,32,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 038",R,-2,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 039",R,1,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 040",P,6,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 041",R,0,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 042",R,15,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 043",R,1,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 044",R,0,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 045",P,0,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 046",R,6,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 047",P,10,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 048",R,3,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 049",R,-1,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 050",P,10,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 051",P,13,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 052",R,34,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 053",R,5,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 054",R,12,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 055",R,13,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 056",P,33,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 057",R,0,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 058",R,4,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 059",R,0,Cornell University
"18 04 HARVARD DEF vs CORNELL OFF, Play 060",NP,NA,Cornell University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 001",R,6,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 002",R,7,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 003",R,3,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 004",P,6,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 005",R,-1,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 006",R,9,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 007",R,9,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 008",R,-2,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 009",P,-1,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 010",P,0,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 011",R,14,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 012",R,3,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 013",P,-1,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 014",P,2,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 015",P,16,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 016",R,49,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 017",R,4,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 018",R,-4,Holy Cross University
