name,r_p,gain,opponent
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 019",P,19,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 020",P,0,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 021",P,0,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 022",R,NA,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 023",P,10,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 024",P,11,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 025",R,-2,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 026",R,9,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 027",R,4,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 028",P,2,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 029",R,4,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 030",P,-7,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 031",NP,NA,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 032",P,-3,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 033",R,0,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 034",P,23,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 035",P,0,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 036",P,0,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 037",P,5,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 038",P,61,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 039",R,5,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 040",R,7,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 041",R,2,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 042",R,4,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 043",P,-11,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 044",P,11,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 045",R,4,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 046",P,0,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 047",P,11,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 048",P,2,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 049",R,NA,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 050",P,20,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 051",R,7,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 052",R,1,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 053",R,24,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 054",P,3,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 055",R,3,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 056",R,1,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 057",P,9,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 058",R,1,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 059",P,4,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 060",P,-6,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 061",R,13,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 062",R,0,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 063",R,-6,Holy Cross University
"18 05 HARVARD DEFvs HOLY CROSS OFF, Play 064",R,1,Holy Cross University
"18 06 HARVARD DEF vs PRINCETON O, Play 001",R,-1,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 002",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 003",P,13,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 004",R,4,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 005",P,10,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 006",P,8,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 007",R,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 008",R,1,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 009",P,33,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 010",R,-1,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 011",R,5,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 012",P,4,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 013",R,4,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 014",P,6,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 015",NP,NA,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 016",R,3,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 017",P,9,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 018",R,2,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 019",P,7,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 020",R,7,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 021",R,3,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 022",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 023",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 024",P,10,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 025",R,3,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 026",P,49,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 027",R,7,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 028",R,3,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 029",R,1,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 030",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 031",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 032",R,2,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 033",R,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 034",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 035",R,2,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 036",P,5,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 037",P,11,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 038",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 039",P,12,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 040",R,3,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 041",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 042",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 043",R,4,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 044",R,1,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 045",P,7,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 046",NP,NA,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 047",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 048",P,-9,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 049",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 050",P,5,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 051",R,2,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 052",P,28,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 053",R,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 054",R,1,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 055",R,-7,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 056",R,26,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 057",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 058",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 059",R,6,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 060",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 061",P,20,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 062",P,-8,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 063",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 064",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 065",R,2,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 066",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 067",R,8,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 068",R,2,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 069",P,2,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 070",R,5,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 071",R,4,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 072",R,1,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 073",P,0,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 074",R,1,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 075",R,49,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 076",NP,NA,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 077",NP,NA,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 078",NP,NA,Princeton University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 001",R,0,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 002",R,82,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 003",R,2,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 004",R,17,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 005",R,4,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 006",P,0,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 007",P,0,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 008",R,3,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 009",R,-1,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 010",R,7,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 011",NP,NA,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 012",P,5,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 013",R,7,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 014",R,10,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 015",NP,NA,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 016",P,3,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 017",R,26,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 018",R,4,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 019",R,7,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 020",R,-5,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 021",R,16,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 022",R,6,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 023",R,20,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 024",R,0,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 025",R,6,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 026",R,7,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 027",P,9,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 028",NP,NA,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 029",R,7,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 030",R,2,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 031",R,3,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 032",P,0,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 033",R,-2,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 034",R,1,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 035",P,0,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 036",R,6,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 037",P,14,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 038",R,-1,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 039",R,30,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 040",R,2,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 041",R,2,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 042",R,0,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 043",R,7,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 044",R,4,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 045",R,-3,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 046",NP,NA,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 047",R,36,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 048",P,0,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 049",R,5,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 050",R,4,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 051",R,2,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 052",R,3,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 053",R,1,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 054",P,0,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 055",R,3,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 056",R,0,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 057",P,2,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 058",R,5,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 059",R,1,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 060",R,9,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 061",NP,NA,Dartmouth University
"18 07 HARVARD DEF vs DARTMOUTH OFF, Play 062",NP,NA,Dartmouth University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 001",R,2,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 002",P,13,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 003",R,-1,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 004",R,6,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 005",R,2,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 006",P,14,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 007",R,1,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 008",P,0,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 009",P,-3,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 010",NP,NA,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 011",R,0,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 012",P,0,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 013",P,2,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 014",R,11,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 015",R,6,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 016",P,49,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 017",P,2,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 018",P,0,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 019",P,0,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 020",P,6,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 021",P,0,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 022",P,11,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 023",R,8,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 024",R,-1,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 025",P,0,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 026",P,0,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 027",R,10,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 028",P,0,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 029",R,-5,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 030",P,13,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 031",R,1,Columbia University
"18 08 HARVARD DEF vs. COLUMBIA OFF, Play 032",R,2,Columbia University
